user_id,signup_date,acquisition_channel,days_to_first_transaction,ltv_90d,churned,churn_date,product_tier,monthly_revenue
UGR_00132,2025-02-19,organic,2,49.43,0,,free,0.0
UGR_00133,2025-09-04,organic,7,87.01,0,,free,0.0
UGR_00134,2025-08-24,referral,2,37.75,0,,premium,28.71
UGR_00135,2024-12-29,social,11,19.66,0,,premium,29.05
UGR_00136,2025-03-06,organic,2,7.06,0,,premium,28.2
UGR_00137,2025-08-14,referral,2,156.65,0,,basic,8.4
UGR_00138,2025-06-17,social,8,45.8,0,,premium,30.49
UGR_00139,2025-12-21,paid_search,1,37.72,0,,free,0.0
UGR_00140,2025-04-03,organic,1,141.02,0,,basic,8.73
UGR_00141,2025-07-25,referral,0,15.52,0,,basic,9.46
UGR_00142,2025-02-26,social,7,44.28,0,,free,0.0
UGR_00143,2025-12-10,organic,8,122.78,0,,basic,9.13
UGR_00144,2026-01-24,email,8,27.81,0,,premium,31.94
UGR_00145,2025-10-11,referral,13,38.46,0,,basic,8.68
UGR_00146,2025-02-16,organic,4,123.89,0,,free,0.0
UGR_00147,2024-11-08,organic,12,30.41,0,,free,0.0
UGR_00148,2025-11-05,social,2,27.51,0,,free,0.0
UGR_00149,2025-10-08,email,0,109.87,0,,premium,29.79
UGR_00150,2025-09-27,paid_search,2,138.07,0,,free,0.0
UGR_00151,2025-02-08,organic,1,247.37,0,,basic,8.85
UGR_00152,2025-07-05,paid_search,14,113.13,0,,free,0.0
UGR_00153,2026-01-21,paid_search,7,137.43,0,,premium,28.31
UGR_00154,2025-11-30,organic,0,38.56,0,,free,0.0
UGR_00155,2026-02-15,paid_search,2,84.55,0,,basic,9.22
UGR_00156,2026-03-13,referral,10,65.39,1,2026-04-30,free,0.0
UGR_00157,2024-10-06,referral,2,100.95,0,,free,0.0
UGR_00158,2025-02-07,referral,30,165.3,0,,free,0.0
UGR_00159,2025-05-16,organic,3,30.87,0,,basic,9.86
UGR_00160,2024-10-19,email,10,32.96,0,,premium,28.66
UGR_00161,2024-11-03,paid_search,0,30.7,0,,basic,8.85
UGR_00162,2025-01-22,organic,2,61.2,0,,premium,29.46
UGR_00163,2025-01-15,email,14,77.69,0,,basic,8.64
UGR_00164,2024-12-28,email,5,41.31,0,,basic,8.58
UGR_00165,2026-02-01,organic,2,51.96,0,,free,0.0
UGR_00166,2025-10-25,paid_search,2,55.28,0,,free,0.0
UGR_00167,2025-08-10,organic,11,8.5,0,,free,0.0
UGR_00168,2025-10-18,referral,30,51.43,0,,free,0.0
UGR_00169,2026-01-24,organic,9,77.58,0,,free,0.0
UGR_00170,2025-05-09,social,5,29.96,0,,basic,8.39
UGR_00171,2025-11-20,organic,0,200.49,0,,free,0.0
UGR_00172,2025-06-28,paid_search,5,43.16,0,,free,0.0
UGR_00173,2025-09-12,organic,0,64.61,0,,free,0.0
UGR_00174,2024-11-15,social,12,17.55,0,,free,0.0
UGR_00175,2025-06-16,paid_search,7,36.31,0,,basic,8.85
UGR_00176,2026-01-25,organic,0,112.39,0,,premium,29.49
UGR_00177,2025-11-06,email,3,64.79,1,2025-12-16,basic,8.43
UGR_00178,2026-03-07,social,1,42.53,0,,premium,31.31
UGR_00179,2024-11-18,paid_search,9,80.17,0,,basic,9.26
UGR_00180,2025-01-18,social,2,71.91,0,,free,0.0
UGR_00181,2025-12-11,social,2,47.69,0,,free,0.0
UGR_00182,2024-10-16,organic,2,20.88,0,,free,0.0
UGR_00183,2025-12-19,organic,1,206.0,0,,free,0.0
UGR_00184,2025-11-25,social,0,44.47,0,,basic,9.66
UGR_00185,2024-11-14,organic,3,63.1,0,,free,0.0
UGR_00186,2024-11-28,social,1,32.51,0,,free,0.0
UGR_00187,2025-01-08,organic,28,38.11,0,,free,0.0
UGR_00188,2026-03-23,organic,7,9.95,1,2026-06-03,free,0.0
UGR_00189,2025-05-15,paid_search,26,23.28,0,,free,0.0
UGR_00190,2024-12-07,referral,9,270.17,0,,free,0.0
UGR_00191,2025-07-28,organic,1,45.82,0,,basic,8.85
UGR_00192,2025-08-08,referral,2,121.24,0,,free,0.0
UGR_00193,2025-02-23,organic,8,55.01,0,,basic,9.54
UGR_00194,2025-09-28,organic,0,191.28,1,2025-11-30,basic,9.17
UGR_00195,2025-09-10,organic,0,29.37,0,,free,0.0
UGR_00196,2026-02-01,social,1,24.15,0,,basic,9.77
UGR_00197,2024-12-22,referral,1,31.15,0,,basic,10.11
UGR_00198,2025-05-25,organic,2,70.04,0,,basic,9.07
UGR_00199,2024-11-23,referral,2,31.6,1,2025-01-23,free,0.0
UGR_00200,2025-11-12,paid_search,30,68.12,0,,basic,8.78
UGR_00201,2024-10-25,email,14,13.59,0,,free,0.0
UGR_00202,2024-12-31,email,14,155.72,0,,basic,9.14
UGR_00203,2026-03-02,paid_search,6,146.65,0,,free,0.0
UGR_00204,2026-01-19,email,9,124.35,0,,free,0.0
UGR_00205,2024-12-17,social,1,27.58,1,2025-01-09,basic,9.07
UGR_00206,2025-02-10,paid_search,3,36.54,1,2025-03-13,premium,30.39
UGR_00207,2025-06-05,referral,1,29.53,0,,free,0.0
UGR_00208,2025-02-07,paid_search,0,18.61,0,,free,0.0
UGR_00209,2025-06-09,paid_search,1,14.55,0,,basic,8.1
UGR_00210,2025-03-14,paid_search,24,21.82,0,,basic,9.12
UGR_00211,2024-10-16,referral,1,26.3,1,2024-12-06,free,0.0
UGR_00212,2025-01-30,organic,1,104.2,0,,free,0.0
UGR_00213,2024-11-05,referral,3,172.08,0,,free,0.0
UGR_00214,2026-02-15,email,0,34.84,0,,free,0.0
UGR_00215,2024-10-18,organic,2,71.51,0,,free,0.0
UGR_00216,2025-03-24,organic,27,196.9,0,,free,0.0
UGR_00217,2025-05-02,paid_search,1,72.73,0,,basic,8.41
UGR_00218,2025-04-05,email,1,194.68,0,,free,0.0
UGR_00219,2025-09-06,organic,1,15.52,0,,free,0.0
UGR_00220,2024-12-05,paid_search,1,15.53,0,,basic,9.08
UGR_00221,2025-10-07,referral,7,29.15,0,,free,0.0
UGR_00222,2024-12-02,email,5,52.26,0,,premium,29.61
UGR_00223,2025-04-09,organic,1,25.89,0,,free,0.0
UGR_00224,2025-12-08,paid_search,8,172.94,0,,free,0.0
UGR_00225,2025-10-03,referral,27,37.76,0,,premium,31.6
UGR_00226,2025-07-26,organic,10,38.67,1,2025-09-16,free,0.0
UGR_00227,2025-06-29,paid_search,0,39.88,0,,basic,9.12
UGR_00228,2026-03-21,social,2,39.1,0,,free,0.0
UGR_00229,2026-01-04,email,14,138.84,0,,basic,9.3
UGR_00230,2025-03-10,paid_search,3,76.79,0,,basic,9.32
UGR_00231,2025-06-05,paid_search,0,53.18,0,,basic,8.94
UGR_00232,2025-04-19,email,13,27.61,0,,basic,9.11
UGR_00233,2025-01-20,paid_search,7,72.39,0,,free,0.0
UGR_00234,2025-01-21,organic,30,132.01,0,,basic,9.14
UGR_00235,2025-03-18,email,4,47.46,0,,free,0.0
UGR_00236,2025-01-09,organic,30,26.1,0,,basic,9.48
UGR_00237,2025-12-10,organic,2,110.42,0,,basic,9.09
UGR_00238,2024-09-23,organic,8,18.75,1,2024-12-07,basic,8.92
UGR_00239,2025-02-27,organic,13,14.97,0,,basic,8.95
UGR_00240,2025-03-02,social,19,19.81,1,2025-05-02,basic,9.45
UGR_00241,2026-03-03,organic,16,77.41,0,,premium,29.07
UGR_00242,2026-01-26,paid_search,3,42.87,1,2026-02-12,free,0.0
UGR_00243,2025-02-05,paid_search,5,9.68,0,,free,0.0
UGR_00244,2024-12-10,referral,10,60.72,0,,premium,28.55
UGR_00245,2024-10-14,paid_search,11,52.0,1,2024-12-27,free,0.0
UGR_00246,2025-05-01,organic,8,43.97,0,,basic,9.42
UGR_00247,2025-04-08,organic,3,14.97,0,,free,0.0
UGR_00248,2025-05-07,social,27,39.85,0,,basic,9.22
UGR_00249,2024-12-10,paid_search,10,277.08,1,2024-12-24,free,0.0
UGR_00250,2025-12-06,organic,6,121.36,0,,basic,9.42
UGR_00251,2025-04-11,organic,3,44.46,0,,basic,8.73
UGR_00252,2024-10-01,social,1,47.24,0,,basic,8.85
UGR_00253,2024-12-18,referral,27,55.84,0,,basic,9.24
UGR_00254,2025-07-14,paid_search,0,22.91,0,,basic,9.47
UGR_00255,2026-01-01,organic,13,48.63,0,,free,0.0
UGR_00256,2025-06-05,organic,0,59.65,0,,premium,30.26
UGR_00257,2025-10-29,paid_search,1,15.36,0,,premium,28.26
UGR_00258,2025-03-01,paid_search,3,51.02,0,,basic,7.87
UGR_00259,2025-08-29,email,11,54.97,0,,basic,8.7
UGR_00260,2025-05-23,organic,15,88.39,0,,basic,9.29
UGR_00261,2026-02-22,paid_search,0,49.92,1,2026-04-22,premium,29.21
UGR_00262,2025-10-03,paid_search,1,83.52,0,,basic,8.57
UGR_00263,2024-12-29,referral,0,64.71,0,,premium,29.37
UGR_00264,2025-07-21,paid_search,7,38.57,0,,basic,8.22
UGR_00265,2025-07-04,paid_search,0,18.24,1,2025-09-18,free,0.0
UGR_00266,2026-03-01,organic,2,224.98,0,,free,0.0
UGR_00267,2025-07-13,referral,14,52.21,0,,free,0.0
UGR_00268,2026-01-18,organic,6,74.8,0,,free,0.0
UGR_00269,2025-03-24,organic,6,54.95,0,,basic,8.71
UGR_00270,2025-09-19,social,10,113.6,0,,basic,8.66
UGR_00271,2025-09-19,paid_search,15,32.79,0,,free,0.0
UGR_00272,2024-12-17,paid_search,2,12.09,0,,basic,8.77
UGR_00273,2025-04-09,organic,6,67.23,0,,free,0.0
UGR_00274,2025-09-03,paid_search,0,29.49,0,,free,0.0
UGR_00275,2025-06-27,organic,7,43.95,0,,basic,8.68
UGR_00276,2025-07-03,social,3,38.64,0,,premium,31.07
UGR_00277,2025-12-04,paid_search,1,37.7,0,,free,0.0
UGR_00278,2025-12-29,social,8,35.84,0,,premium,28.08
UGR_00279,2025-01-14,referral,0,43.36,0,,basic,9.37
UGR_00280,2025-03-26,social,18,46.6,1,2025-04-19,free,0.0
UGR_00281,2025-10-17,paid_search,0,22.61,1,2025-11-20,premium,29.85
UGR_00282,2025-11-11,email,1,114.62,0,,free,0.0
UGR_00283,2025-01-23,paid_search,1,34.96,0,,free,0.0
UGR_00284,2025-05-12,social,13,15.29,0,,free,0.0
UGR_00285,2026-02-09,email,3,24.61,0,,free,0.0
UGR_00286,2025-02-13,paid_search,0,30.65,0,,free,0.0
UGR_00287,2025-07-28,organic,3,42.97,0,,free,0.0
UGR_00288,2026-02-27,paid_search,6,103.0,0,,free,0.0
UGR_00289,2025-09-03,organic,12,58.9,0,,premium,27.07
UGR_00290,2024-10-23,paid_search,2,137.76,0,,premium,29.38
UGR_00291,2025-06-23,paid_search,2,56.24,0,,basic,8.86
UGR_00292,2026-01-02,organic,2,217.32,0,,premium,27.41
UGR_00293,2025-03-21,social,2,24.81,0,,premium,30.64
UGR_00294,2024-12-18,social,1,61.63,1,2025-01-17,basic,8.61
UGR_00295,2025-11-19,social,8,22.28,0,,free,0.0
UGR_00296,2025-06-24,referral,2,117.48,1,2025-09-06,free,0.0
UGR_00297,2025-07-28,paid_search,8,25.93,0,,basic,9.24
UGR_00298,2025-06-13,referral,9,95.54,0,,basic,8.98
UGR_00299,2024-10-27,referral,2,81.12,0,,free,0.0
UGR_00300,2024-11-01,paid_search,7,17.33,0,,free,0.0
UGR_00301,2025-10-09,organic,3,33.33,0,,free,0.0
UGR_00302,2025-12-10,paid_search,13,20.07,0,,basic,9.36
UGR_00303,2024-11-15,referral,3,32.96,0,,premium,27.84
UGR_00304,2025-09-10,referral,0,22.29,0,,basic,9.03
UGR_00305,2025-09-22,social,30,24.54,0,,basic,8.84
UGR_00306,2025-12-03,social,2,81.41,0,,premium,29.48
UGR_00307,2025-04-08,paid_search,3,19.25,0,,free,0.0
UGR_00308,2024-10-30,referral,0,34.09,0,,premium,26.53
UGR_00309,2025-05-12,organic,1,253.78,0,,basic,8.53
UGR_00310,2025-02-16,paid_search,0,41.39,0,,free,0.0
UGR_00311,2025-11-22,social,1,58.99,0,,basic,8.97
UGR_00312,2024-10-26,organic,0,58.6,1,2024-12-09,premium,26.64
UGR_00313,2026-01-29,referral,1,33.91,0,,free,0.0
UGR_00314,2025-06-19,social,1,66.4,0,,free,0.0
UGR_00315,2025-05-06,social,6,77.9,0,,premium,29.02
UGR_00316,2025-09-13,social,1,28.55,0,,free,0.0
UGR_00317,2025-02-22,social,1,42.58,0,,free,0.0
UGR_00318,2025-07-08,social,1,51.43,0,,free,0.0
UGR_00319,2025-01-23,referral,3,27.63,0,,premium,29.35
UGR_00320,2025-05-16,referral,2,28.32,1,2025-06-20,premium,30.78
UGR_00321,2025-12-21,social,24,103.03,0,,basic,8.79
UGR_00322,2025-06-24,organic,28,13.82,0,,premium,29.07
UGR_00323,2026-02-20,paid_search,25,47.69,0,,basic,8.42
UGR_00324,2025-01-24,organic,3,20.13,0,,free,0.0
UGR_00325,2025-05-14,paid_search,3,38.95,1,2025-06-19,free,0.0
UGR_00326,2025-12-01,social,4,64.29,0,,free,0.0
UGR_00327,2026-02-15,email,22,66.8,0,,premium,31.37
UGR_00328,2025-11-04,social,3,48.08,0,,premium,29.07
UGR_00329,2025-02-27,organic,2,39.33,0,,free,0.0
UGR_00330,2025-10-25,organic,3,121.49,0,,free,0.0
UGR_00331,2024-12-26,social,2,20.52,0,,basic,9.1
UGR_00332,2025-08-08,organic,1,8.01,0,,free,0.0
UGR_00333,2025-02-06,email,1,160.57,1,2025-04-17,basic,9.11
UGR_00334,2025-11-24,referral,3,47.5,0,,basic,8.85
UGR_00335,2025-03-22,referral,3,151.49,0,,basic,8.62
UGR_00336,2026-01-26,social,13,46.22,0,,free,0.0
UGR_00337,2025-09-03,organic,0,19.21,0,,premium,29.21
UGR_00338,2026-03-19,referral,28,221.47,0,,basic,9.73
UGR_00339,2025-07-19,paid_search,9,52.16,0,,basic,9.04
UGR_00340,2025-10-24,organic,28,210.94,0,,free,0.0
UGR_00341,2025-07-18,paid_search,2,155.49,0,,basic,9.02
UGR_00342,2026-02-06,social,3,150.45,1,2026-03-04,free,0.0
UGR_00343,2024-11-06,social,2,123.8,0,,free,0.0
UGR_00344,2025-01-08,social,1,22.19,0,,basic,8.7
UGR_00345,2026-01-10,paid_search,1,73.78,0,,basic,9.07
UGR_00346,2024-09-24,organic,13,105.65,0,,free,0.0
UGR_00347,2025-01-29,referral,0,126.92,0,,free,0.0
UGR_00348,2025-02-03,paid_search,0,21.86,0,,free,0.0
UGR_00349,2025-07-21,paid_search,3,19.68,0,,free,0.0
UGR_00350,2025-01-20,organic,3,35.77,0,,premium,28.25
UGR_00351,2025-03-03,organic,4,24.75,0,,free,0.0
UGR_00352,2025-11-17,social,4,168.95,1,2026-01-15,premium,30.36
UGR_00353,2025-05-21,social,1,85.7,0,,free,0.0
UGR_00354,2024-11-11,referral,4,200.75,0,,free,0.0
UGR_00355,2025-06-26,paid_search,2,104.64,0,,free,0.0
UGR_00356,2026-02-28,organic,11,171.12,0,,free,0.0
UGR_00357,2026-02-26,organic,0,105.33,0,,free,0.0
UGR_00358,2024-12-14,referral,2,62.71,0,,premium,29.13
UGR_00359,2025-11-03,organic,3,129.95,0,,free,0.0
UGR_00360,2024-10-06,organic,2,21.04,0,,premium,30.24
UGR_00361,2025-12-17,paid_search,12,58.21,0,,basic,9.47
UGR_00362,2025-09-22,organic,2,35.1,1,2025-10-14,free,0.0
UGR_00363,2025-03-21,paid_search,16,30.01,0,,free,0.0
UGR_00364,2025-02-14,paid_search,7,21.84,0,,basic,9.99
UGR_00365,2025-07-11,social,2,35.02,0,,free,0.0
UGR_00366,2025-10-06,social,3,30.64,0,,free,0.0
UGR_00367,2026-02-21,social,28,62.39,0,,basic,8.63
UGR_00368,2024-11-14,organic,27,30.06,0,,premium,28.85
UGR_00369,2026-03-18,paid_search,21,92.04,0,,premium,30.61
UGR_00370,2025-07-15,paid_search,10,30.66,0,,free,0.0
UGR_00371,2025-02-11,paid_search,1,96.79,0,,basic,9.42
UGR_00372,2025-01-28,organic,12,82.6,0,,basic,9.5
UGR_00373,2025-01-14,organic,3,31.88,0,,free,0.0
UGR_00374,2025-02-23,paid_search,3,17.88,0,,basic,9.12
UGR_00375,2025-10-19,referral,12,22.69,0,,free,0.0
UGR_00376,2025-01-01,organic,3,77.66,0,,free,0.0
UGR_00377,2024-11-15,referral,3,35.58,0,,basic,8.28
UGR_00378,2025-05-29,email,1,68.25,0,,free,0.0
UGR_00379,2026-03-24,organic,12,28.26,0,,basic,9.76
UGR_00380,2026-01-01,referral,5,188.24,1,2026-02-13,free,0.0
UGR_00381,2025-02-02,organic,21,56.11,0,,free,0.0
UGR_00382,2025-02-27,social,4,121.92,0,,premium,28.64
UGR_00383,2024-10-14,organic,3,116.91,0,,free,0.0
UGR_00384,2025-06-11,referral,13,76.79,1,2025-07-06,basic,9.55
UGR_00385,2025-03-26,email,3,21.09,0,,basic,8.43
UGR_00386,2026-02-28,referral,2,94.87,0,,basic,9.45
UGR_00387,2025-12-14,social,2,44.58,0,,basic,9.05
UGR_00388,2024-10-03,organic,0,119.56,1,2024-12-02,basic,9.56
UGR_00389,2025-11-14,email,3,106.94,1,2026-02-06,free,0.0
UGR_00390,2025-02-01,social,1,28.28,0,,free,0.0
UGR_00391,2025-12-24,paid_search,28,87.41,0,,free,0.0
UGR_00392,2026-02-01,email,12,55.48,0,,free,0.0
UGR_00393,2025-01-25,paid_search,1,30.92,0,,free,0.0
UGR_00394,2025-05-20,paid_search,14,16.64,0,,premium,31.69
UGR_00395,2025-06-20,referral,1,121.21,0,,free,0.0
UGR_00396,2025-05-13,paid_search,3,58.2,0,,free,0.0
UGR_00397,2024-11-14,referral,4,30.26,0,,free,0.0
UGR_00398,2025-01-22,organic,0,37.26,0,,free,0.0
UGR_00399,2025-10-20,social,0,29.73,0,,premium,28.77
UGR_00400,2024-12-24,email,2,41.45,1,2025-01-27,basic,9.21
UGR_00401,2026-01-10,referral,1,80.3,0,,free,0.0
UGR_00402,2025-12-08,social,3,125.59,1,2025-12-22,free,0.0
UGR_00403,2025-08-30,social,3,25.74,0,,free,0.0
UGR_00404,2025-06-25,organic,1,71.08,0,,free,0.0
UGR_00405,2025-11-23,paid_search,2,53.43,0,,free,0.0
UGR_00406,2025-03-01,referral,0,77.62,0,,free,0.0
UGR_00407,2024-11-15,email,1,39.79,0,,basic,8.78
UGR_00408,2025-12-05,organic,3,44.53,0,,basic,8.91
UGR_00409,2025-05-24,social,10,105.43,0,,basic,9.08
UGR_00410,2025-12-11,paid_search,10,72.34,1,2026-01-30,basic,8.65
UGR_00411,2025-02-16,paid_search,14,35.35,0,,free,0.0
UGR_00412,2025-03-20,paid_search,26,28.84,0,,basic,9.63
UGR_00413,2025-01-14,referral,9,164.36,0,,free,0.0
