session_id,user_id,date,step_1_viewed,step_2_details,step_3_payment,step_4_confirm,step_5_complete,variant,converted,revenue,drop_step
SES_0000101,USR_06365,2026-03-12,1,1,1,1,1,A,1,48.96,
SES_0000102,USR_02731,2025-05-18,1,1,1,1,1,B,1,116.82,
SES_0000103,USR_02993,2025-10-11,1,1,1,0,0,A,0,0.0,4.0
SES_0000104,USR_01567,2025-06-24,1,1,0,0,0,B,0,0.0,3.0
SES_0000105,USR_00423,2025-05-30,1,1,1,1,1,B,1,170.53,
SES_0000106,USR_00167,2025-11-03,1,1,1,1,1,A,1,80.77,
SES_0000107,USR_05478,2025-09-07,1,0,0,0,0,A,0,0.0,2.0
SES_0000108,USR_05798,2026-01-24,1,0,0,0,0,A,0,0.0,2.0
SES_0000109,USR_01978,2026-03-09,1,1,1,1,1,A,1,64.7,
SES_0000110,USR_02469,2025-09-10,1,1,1,0,0,A,0,0.0,4.0
SES_0000111,USR_01854,2026-03-15,1,1,0,0,0,A,0,0.0,3.0
SES_0000112,USR_05976,2025-05-09,1,0,0,0,0,B,0,0.0,2.0
SES_0000113,USR_02886,2025-09-23,1,1,1,1,1,B,1,87.83,
SES_0000114,USR_07009,2025-07-08,1,1,1,1,0,A,0,0.0,5.0
SES_0000115,USR_02822,2025-11-01,1,1,0,0,0,B,0,0.0,3.0
SES_0000116,USR_06531,2025-11-22,1,0,0,0,0,B,0,0.0,2.0
SES_0000117,USR_07906,2025-10-13,1,1,1,1,1,B,1,46.36,
SES_0000118,USR_06034,2025-04-23,1,1,1,1,1,B,1,73.78,
SES_0000119,USR_01977,2025-08-03,1,1,0,0,0,B,0,0.0,3.0
SES_0000120,USR_08400,2025-10-12,1,1,1,1,1,B,1,51.87,
SES_0000121,USR_01234,2025-06-25,1,0,0,0,0,B,0,0.0,2.0
SES_0000122,USR_07302,2025-07-12,1,1,1,1,1,B,1,129.21,
SES_0000123,USR_06596,2026-02-27,1,1,1,1,1,A,1,70.41,
SES_0000124,USR_09156,2025-10-21,1,1,1,0,0,B,0,0.0,4.0
SES_0000125,USR_02604,2025-10-25,1,1,0,0,0,A,0,0.0,3.0
SES_0000126,USR_02184,2025-04-02,1,1,0,0,0,B,0,0.0,3.0
SES_0000127,USR_00536,2025-11-23,1,1,1,1,1,B,1,95.83,
SES_0000128,USR_01175,2025-09-04,1,0,0,0,0,A,0,0.0,2.0
SES_0000129,USR_05066,2026-02-07,1,1,0,0,0,A,0,0.0,3.0
SES_0000130,USR_06221,2026-03-23,1,1,1,1,1,A,1,56.0,
SES_0000131,USR_00578,2025-05-09,1,1,1,1,1,B,1,60.93,
SES_0000132,USR_05438,2026-02-16,1,1,0,0,0,B,0,0.0,3.0
SES_0000133,USR_09740,2026-02-16,1,1,1,1,0,A,0,0.0,5.0
SES_0000134,USR_08147,2025-05-25,1,1,1,1,1,B,1,116.67,
SES_0000135,USR_05876,2025-08-01,1,0,0,0,0,A,0,0.0,2.0
SES_0000136,USR_01151,2025-06-22,1,0,0,0,0,A,0,0.0,2.0
SES_0000137,USR_06283,2025-10-15,1,0,0,0,0,B,0,0.0,2.0
SES_0000138,USR_05725,2025-12-27,1,1,1,1,1,B,1,47.24,
SES_0000139,USR_05466,2026-03-23,1,1,1,1,1,B,1,59.18,
SES_0000140,USR_07582,2025-06-25,1,0,0,0,0,B,0,0.0,2.0
SES_0000141,USR_09229,2025-04-22,1,1,0,0,0,B,0,0.0,3.0
SES_0000142,USR_03367,2025-10-20,1,0,0,0,0,A,0,0.0,2.0
SES_0000143,USR_09299,2026-02-14,1,1,1,1,1,A,1,143.96,
SES_0000144,USR_09378,2025-10-18,1,1,1,1,1,A,1,72.18,
SES_0000145,USR_02253,2025-08-02,1,1,0,0,0,B,0,0.0,3.0
SES_0000146,USR_09405,2026-03-19,1,1,1,1,1,A,1,28.41,
SES_0000147,USR_03053,2025-10-30,1,1,1,0,0,A,0,0.0,4.0
SES_0000148,USR_01114,2025-08-30,1,1,1,1,1,A,1,104.69,
SES_0000149,USR_08128,2025-10-03,1,1,1,1,1,B,1,96.0,
SES_0000150,USR_00012,2026-01-25,1,1,0,0,0,A,0,0.0,3.0
SES_0000151,USR_04733,2025-09-13,1,1,1,1,0,A,0,0.0,5.0
SES_0000152,USR_06595,2025-04-11,1,1,1,1,1,A,1,123.5,
SES_0000153,USR_02690,2026-01-31,1,0,0,0,0,A,0,0.0,2.0
SES_0000154,USR_00307,2025-08-11,1,1,0,0,0,A,0,0.0,3.0
SES_0000155,USR_01452,2026-03-09,1,1,1,1,1,A,1,96.89,
SES_0000156,USR_02355,2026-03-12,1,0,0,0,0,A,0,0.0,2.0
SES_0000157,USR_02359,2025-05-03,1,0,0,0,0,B,0,0.0,2.0
SES_0000158,USR_01026,2025-06-18,1,1,1,0,0,B,0,0.0,4.0
SES_0000159,USR_07692,2025-09-05,1,1,1,1,1,A,1,63.27,
SES_0000160,USR_08859,2025-11-18,1,1,0,0,0,A,0,0.0,3.0
SES_0000161,USR_05850,2026-03-24,1,0,0,0,0,B,0,0.0,2.0
SES_0000162,USR_03053,2025-07-27,1,0,0,0,0,A,0,0.0,2.0
SES_0000163,USR_04354,2026-03-19,1,0,0,0,0,A,0,0.0,2.0
SES_0000164,USR_08378,2025-06-04,1,1,1,1,1,B,1,116.05,
SES_0000165,USR_09014,2025-05-04,1,1,0,0,0,B,0,0.0,3.0
SES_0000166,USR_06938,2026-03-23,1,1,1,1,1,B,1,73.58,
SES_0000167,USR_07998,2026-03-24,1,1,0,0,0,B,0,0.0,3.0
SES_0000168,USR_08879,2025-05-06,1,1,1,1,1,A,1,156.25,
SES_0000169,USR_08359,2025-04-04,1,0,0,0,0,A,0,0.0,2.0
SES_0000170,USR_03903,2026-01-19,1,1,1,1,0,A,0,0.0,5.0
SES_0000171,USR_09011,2026-02-25,1,1,1,0,0,A,0,0.0,4.0
SES_0000172,USR_06560,2025-09-09,1,1,1,1,1,B,1,75.69,
SES_0000173,USR_08836,2026-03-07,1,0,0,0,0,A,0,0.0,2.0
SES_0000174,USR_05409,2025-09-27,1,1,1,1,1,B,1,29.81,
SES_0000175,USR_01603,2025-04-28,1,1,0,0,0,B,0,0.0,3.0
SES_0000176,USR_04920,2025-05-22,1,1,0,0,0,B,0,0.0,3.0
SES_0000177,USR_07201,2025-04-06,1,1,1,1,1,B,1,247.22,
SES_0000178,USR_04440,2025-06-08,1,1,1,1,1,B,1,230.08,
SES_0000179,USR_06400,2025-10-21,1,1,1,1,1,B,1,93.9,
SES_0000180,USR_00964,2025-08-24,1,1,1,1,1,A,1,102.0,
SES_0000181,USR_01013,2025-08-08,1,1,1,1,1,B,1,71.75,
SES_0000182,USR_06008,2025-06-05,1,1,1,1,1,B,1,23.29,
SES_0000183,USR_09809,2025-11-21,1,1,1,1,0,B,0,0.0,5.0
SES_0000184,USR_03494,2026-03-09,1,1,0,0,0,B,0,0.0,3.0
SES_0000185,USR_08449,2025-11-04,1,1,1,1,1,A,1,43.09,
SES_0000186,USR_06044,2025-11-15,1,1,1,1,1,B,1,62.08,
SES_0000187,USR_08864,2025-03-25,1,1,1,1,1,B,1,108.21,
SES_0000188,USR_09462,2025-08-23,1,1,1,0,0,A,0,0.0,4.0
SES_0000189,USR_09835,2026-03-17,1,0,0,0,0,A,0,0.0,2.0
SES_0000190,USR_02264,2026-02-26,1,1,0,0,0,B,0,0.0,3.0
SES_0000191,USR_02946,2025-04-28,1,1,1,1,1,A,1,127.04,
SES_0000192,USR_08083,2025-11-13,1,1,1,1,1,B,1,70.69,
SES_0000193,USR_07245,2025-11-06,1,1,1,1,1,B,1,212.24,
SES_0000194,USR_08010,2026-01-15,1,1,1,0,0,B,0,0.0,4.0
SES_0000195,USR_07134,2026-03-07,1,0,0,0,0,A,0,0.0,2.0
SES_0000196,USR_05722,2025-04-02,1,1,0,0,0,B,0,0.0,3.0
SES_0000197,USR_09856,2025-10-14,1,1,0,0,0,B,0,0.0,3.0
SES_0000198,USR_05658,2026-02-11,1,1,0,0,0,A,0,0.0,3.0
SES_0000199,USR_01896,2025-09-02,1,1,1,1,1,B,1,54.22,
SES_0000200,USR_03231,2025-12-23,1,0,0,0,0,B,0,0.0,2.0
SES_0000201,USR_07226,2026-02-15,1,1,1,1,1,A,1,95.2,
SES_0000202,USR_04102,2025-04-28,1,1,0,0,0,B,0,0.0,3.0
SES_0000203,USR_01631,2025-09-11,1,1,1,1,1,A,1,94.82,
SES_0000204,USR_01444,2025-10-10,1,1,0,0,0,B,0,0.0,3.0
SES_0000205,USR_00211,2025-05-09,1,0,0,0,0,B,0,0.0,2.0
SES_0000206,USR_09022,2026-02-25,1,1,1,1,1,B,1,66.0,
SES_0000207,USR_05051,2025-12-13,1,0,0,0,0,A,0,0.0,2.0
SES_0000208,USR_01066,2025-12-31,1,1,1,1,1,B,1,75.35,
SES_0000209,USR_04602,2026-01-16,1,1,1,1,1,B,1,54.56,
SES_0000210,USR_01171,2026-02-02,1,0,0,0,0,A,0,0.0,2.0
SES_0000211,USR_03343,2025-12-23,1,1,1,1,0,B,0,0.0,5.0
SES_0000212,USR_02728,2025-08-09,1,1,1,1,1,A,1,53.81,
SES_0000213,USR_00954,2026-03-13,1,1,0,0,0,A,0,0.0,3.0
SES_0000214,USR_00722,2025-09-11,1,1,0,0,0,A,0,0.0,3.0
SES_0000215,USR_00610,2026-01-29,1,0,0,0,0,A,0,0.0,2.0
SES_0000216,USR_06284,2026-02-23,1,1,1,1,1,B,1,145.32,
SES_0000217,USR_02971,2025-06-20,1,1,0,0,0,A,0,0.0,3.0
SES_0000218,USR_03360,2025-11-10,1,0,0,0,0,B,0,0.0,2.0
SES_0000219,USR_06704,2025-06-22,1,1,1,1,1,B,1,30.19,
SES_0000220,USR_03369,2026-02-09,1,0,0,0,0,B,0,0.0,2.0
SES_0000221,USR_00072,2025-10-02,1,1,1,1,1,A,1,33.82,
SES_0000222,USR_04006,2025-07-06,1,1,0,0,0,A,0,0.0,3.0
SES_0000223,USR_02747,2026-03-08,1,0,0,0,0,B,0,0.0,2.0
SES_0000224,USR_08872,2025-12-11,1,1,1,1,1,B,1,91.15,
SES_0000225,USR_05401,2025-07-16,1,1,1,1,1,B,1,100.9,
SES_0000226,USR_00108,2025-07-27,1,1,0,0,0,A,0,0.0,3.0
SES_0000227,USR_01626,2026-01-14,1,1,1,1,1,B,1,88.57,
SES_0000228,USR_03814,2025-03-26,1,1,1,1,1,B,1,79.66,
SES_0000229,USR_03786,2026-03-14,1,1,1,0,0,B,0,0.0,4.0
SES_0000230,USR_03079,2025-11-19,1,1,1,1,1,B,1,228.71,
SES_0000231,USR_07990,2025-06-19,1,1,1,1,1,B,1,56.01,
SES_0000232,USR_02382,2025-11-09,1,1,1,1,1,A,1,187.61,
SES_0000233,USR_09906,2025-07-11,1,1,0,0,0,B,0,0.0,3.0
SES_0000234,USR_05227,2025-11-19,1,1,1,1,1,B,1,77.82,
SES_0000235,USR_08972,2025-12-04,1,1,1,1,1,B,1,111.5,
SES_0000236,USR_02500,2025-04-20,1,0,0,0,0,A,0,0.0,2.0
SES_0000237,USR_09438,2025-05-23,1,1,1,1,1,B,1,122.31,
SES_0000238,USR_06334,2025-07-07,1,1,1,1,1,B,1,131.76,
SES_0000239,USR_06049,2026-02-25,1,0,0,0,0,B,0,0.0,2.0
SES_0000240,USR_03684,2026-01-09,1,1,1,1,1,B,1,74.8,
SES_0000241,USR_05221,2025-10-03,1,1,1,1,1,A,1,71.98,
SES_0000242,USR_01469,2025-07-22,1,1,1,1,1,A,1,141.62,
SES_0000243,USR_01139,2025-08-17,1,1,1,1,1,A,1,85.54,
SES_0000244,USR_01330,2026-02-25,1,1,0,0,0,B,0,0.0,3.0
SES_0000245,USR_06014,2025-04-13,1,1,1,1,1,A,1,46.4,
SES_0000246,USR_08623,2025-06-03,1,1,1,1,1,A,1,37.08,
SES_0000247,USR_01576,2025-08-22,1,0,0,0,0,B,0,0.0,2.0
SES_0000248,USR_08369,2025-08-06,1,1,1,1,1,A,1,27.22,
SES_0000249,USR_09771,2025-05-24,1,1,1,1,1,A,1,146.35,
SES_0000250,USR_09810,2025-07-24,1,1,1,1,1,A,1,70.44,
SES_0000251,USR_09890,2025-09-01,1,1,1,0,0,B,0,0.0,4.0
SES_0000252,USR_01294,2025-05-20,1,1,0,0,0,A,0,0.0,3.0
SES_0000253,USR_05010,2025-10-01,1,1,1,1,0,B,0,0.0,5.0
SES_0000254,USR_07431,2025-06-19,1,1,1,1,1,B,1,96.09,
SES_0000255,USR_05061,2026-03-25,1,1,0,0,0,A,0,0.0,3.0
SES_0000256,USR_04615,2025-05-16,1,1,1,0,0,B,0,0.0,4.0
SES_0000257,USR_06508,2025-05-04,1,0,0,0,0,A,0,0.0,2.0
SES_0000258,USR_09580,2025-12-19,1,1,0,0,0,B,0,0.0,3.0
SES_0000259,USR_05777,2025-12-29,1,1,0,0,0,A,0,0.0,3.0
SES_0000260,USR_02355,2026-02-02,1,1,1,1,1,A,1,152.44,
SES_0000261,USR_08640,2025-11-13,1,1,1,1,1,B,1,37.47,
SES_0000262,USR_02502,2025-10-27,1,0,0,0,0,A,0,0.0,2.0
SES_0000263,USR_05169,2026-01-17,1,1,1,1,1,B,1,66.11,
SES_0000264,USR_09039,2025-06-27,1,1,1,1,1,B,1,87.83,
SES_0000265,USR_03205,2025-10-29,1,0,0,0,0,A,0,0.0,2.0
SES_0000266,USR_07822,2025-05-03,1,1,0,0,0,B,0,0.0,3.0
SES_0000267,USR_07548,2025-08-06,1,1,1,1,0,B,0,0.0,5.0
SES_0000268,USR_07584,2025-12-28,1,1,1,1,1,B,1,130.44,
SES_0000269,USR_09356,2025-10-06,1,0,0,0,0,A,0,0.0,2.0
SES_0000270,USR_09684,2025-11-16,1,1,1,1,1,A,1,64.96,
SES_0000271,USR_06665,2025-06-06,1,0,0,0,0,A,0,0.0,2.0
SES_0000272,USR_04677,2025-07-22,1,1,1,0,0,B,0,0.0,4.0
SES_0000273,USR_09739,2025-10-16,1,1,1,1,1,B,1,147.38,
SES_0000274,USR_00298,2026-02-15,1,1,0,0,0,B,0,0.0,3.0
SES_0000275,USR_07094,2025-11-11,1,1,1,1,1,B,1,82.72,
SES_0000276,USR_02781,2026-03-10,1,1,1,1,1,B,1,68.98,
SES_0000277,USR_00197,2025-12-31,1,1,1,1,1,A,1,69.58,
SES_0000278,USR_01474,2025-04-07,1,1,1,1,1,B,1,227.9,
SES_0000279,USR_02950,2026-01-11,1,1,1,1,1,B,1,78.78,
SES_0000280,USR_00572,2025-12-28,1,1,1,0,0,A,0,0.0,4.0
SES_0000281,USR_06749,2025-07-26,1,1,1,1,1,B,1,87.8,
SES_0000282,USR_00714,2025-10-20,1,1,1,1,1,B,1,26.84,
SES_0000283,USR_08171,2025-12-15,1,0,0,0,0,A,0,0.0,2.0
SES_0000284,USR_09140,2025-04-25,1,1,0,0,0,A,0,0.0,3.0
SES_0000285,USR_08512,2026-02-10,1,0,0,0,0,A,0,0.0,2.0
SES_0000286,USR_08756,2026-01-02,1,0,0,0,0,A,0,0.0,2.0
SES_0000287,USR_08841,2025-09-24,1,1,1,1,1,A,1,70.12,
SES_0000288,USR_07789,2025-04-04,1,1,1,1,1,A,1,73.14,
SES_0000289,USR_09235,2025-09-03,1,1,1,1,0,A,0,0.0,5.0
SES_0000290,USR_09413,2026-01-22,1,1,1,1,1,A,1,203.27,
SES_0000291,USR_06390,2025-06-08,1,1,1,1,1,B,1,78.75,
SES_0000292,USR_06895,2026-01-10,1,1,0,0,0,B,0,0.0,3.0
SES_0000293,USR_01100,2025-10-10,1,1,0,0,0,B,0,0.0,3.0
SES_0000294,USR_00456,2025-09-08,1,0,0,0,0,A,0,0.0,2.0
SES_0000295,USR_07510,2025-09-15,1,1,1,1,1,A,1,46.63,
SES_0000296,USR_09650,2026-03-05,1,1,1,1,1,B,1,150.34,
SES_0000297,USR_03613,2026-03-07,1,1,0,0,0,A,0,0.0,3.0
SES_0000298,USR_00204,2025-04-02,1,1,0,0,0,B,0,0.0,3.0
SES_0000299,USR_00019,2025-10-14,1,0,0,0,0,B,0,0.0,2.0
SES_0000300,USR_00392,2025-09-21,1,1,1,1,1,A,1,87.13,
SES_0000301,USR_02400,2026-02-26,1,0,0,0,0,B,0,0.0,2.0
SES_0000302,USR_02618,2025-08-16,1,1,1,0,0,B,0,0.0,4.0
SES_0000303,USR_07090,2026-01-04,1,0,0,0,0,A,0,0.0,2.0
SES_0000304,USR_02333,2025-12-20,1,1,1,1,1,A,1,89.2,
SES_0000305,USR_06146,2025-07-06,1,0,0,0,0,B,0,0.0,2.0
SES_0000306,USR_04165,2025-12-24,1,1,1,1,0,A,0,0.0,5.0
SES_0000307,USR_05272,2025-09-24,1,1,0,0,0,A,0,0.0,3.0
SES_0000308,USR_06297,2025-11-16,1,1,0,0,0,B,0,0.0,3.0
SES_0000309,USR_01856,2025-10-26,1,1,1,1,1,A,1,33.54,
SES_0000310,USR_06801,2025-05-20,1,1,1,1,1,B,1,175.9,
SES_0000311,USR_00618,2025-08-31,1,1,0,0,0,A,0,0.0,3.0
SES_0000312,USR_00657,2025-09-17,1,0,0,0,0,A,0,0.0,2.0
SES_0000313,USR_05643,2025-08-28,1,0,0,0,0,A,0,0.0,2.0
SES_0000314,USR_06341,2026-03-19,1,1,1,0,0,B,0,0.0,4.0
SES_0000315,USR_06578,2025-09-23,1,1,1,1,1,B,1,149.08,
SES_0000316,USR_05647,2025-04-27,1,1,1,1,1,A,1,90.17,
SES_0000317,USR_07761,2025-10-14,1,1,0,0,0,B,0,0.0,3.0
SES_0000318,USR_04879,2025-07-04,1,0,0,0,0,A,0,0.0,2.0
SES_0000319,USR_01576,2025-12-26,1,0,0,0,0,A,0,0.0,2.0
SES_0000320,USR_06363,2025-08-13,1,1,1,1,0,A,0,0.0,5.0
SES_0000321,USR_08387,2025-06-12,1,1,0,0,0,A,0,0.0,3.0
SES_0000322,USR_00472,2025-06-17,1,1,1,1,1,B,1,87.78,
SES_0000323,USR_05931,2026-01-06,1,0,0,0,0,A,0,0.0,2.0
SES_0000324,USR_07030,2025-03-28,1,1,0,0,0,A,0,0.0,3.0
SES_0000325,USR_00201,2026-01-27,1,0,0,0,0,B,0,0.0,2.0
SES_0000326,USR_01000,2025-07-19,1,1,1,1,1,A,1,59.14,
SES_0000327,USR_02579,2026-02-19,1,1,1,1,1,A,1,128.99,
SES_0000328,USR_04465,2026-01-24,1,1,1,1,1,A,1,57.3,
SES_0000329,USR_02572,2025-06-11,1,1,1,1,1,A,1,189.79,
SES_0000330,USR_03256,2025-08-12,1,0,0,0,0,A,0,0.0,2.0
SES_0000331,USR_09164,2025-10-24,1,1,0,0,0,A,0,0.0,3.0
SES_0000332,USR_05565,2026-01-06,1,1,1,1,1,A,1,40.35,
SES_0000333,USR_01067,2025-04-14,1,1,1,1,0,A,0,0.0,5.0
SES_0000334,USR_04278,2025-09-11,1,1,1,1,1,B,1,100.96,
SES_0000335,USR_01003,2026-01-16,1,1,0,0,0,A,0,0.0,3.0
SES_0000336,USR_08937,2025-12-02,1,1,1,1,1,B,1,92.78,
SES_0000337,USR_03785,2026-01-29,1,1,1,1,1,B,1,104.21,
SES_0000338,USR_06272,2025-04-17,1,1,1,1,1,B,1,17.85,
SES_0000339,USR_02528,2025-10-09,1,0,0,0,0,A,0,0.0,2.0
SES_0000340,USR_02888,2025-08-30,1,1,1,1,1,B,1,36.36,
SES_0000341,USR_05913,2026-03-02,1,1,1,1,1,B,1,131.45,
