application_id,credit_score,annual_income,loan_amount,loan_purpose,employment_years,debt_to_income,approved,interest_rate,default_flag,origination_date
APP_000030,672,91653.74,4933.11,debt_consolidation,10.4,0.2523,1,8.47,1,2025-08-09
APP_000031,692,57523.18,7168.72,business,5.0,0.3686,1,8.6,0,2023-11-10
APP_000032,815,151965.77,16682.56,debt_consolidation,1.7,0.16,1,7.86,0,2023-06-15
APP_000033,722,57292.41,8526.16,debt_consolidation,5.0,0.3629,1,7.66,1,2024-07-22
APP_000034,812,28982.71,14046.99,personal,0.6,0.2041,1,7.55,0,2024-08-15
APP_000035,669,164378.85,23761.7,debt_consolidation,10.5,0.3626,1,9.44,0,2024-07-04
APP_000036,700,150430.87,5585.97,personal,5.1,0.3186,1,7.54,0,2025-02-01
APP_000037,715,63643.27,12716.63,business,3.0,0.2879,1,8.24,0,2024-12-27
APP_000038,500,76231.94,24135.59,personal,12.0,0.5746,0,11.58,0,2024-05-02
APP_000039,664,72607.28,6319.35,auto,1.7,0.4271,1,7.97,1,2025-07-09
APP_000040,631,121433.63,5711.92,home_improvement,2.7,0.2421,0,9.75,0,2024-12-01
APP_000041,569,87314.22,7344.6,debt_consolidation,5.9,0.345,0,9.97,0,2024-06-05
APP_000042,554,43977.97,23793.65,home_improvement,2.3,0.3956,0,11.22,0,2023-10-03
APP_000043,732,31925.47,6862.28,personal,1.9,0.3524,1,8.06,0,2023-08-22
APP_000044,538,62130.37,3394.91,auto,1.7,0.3944,0,10.94,0,2023-10-30
APP_000045,691,45346.88,11901.93,auto,0.9,0.1035,1,7.76,1,2025-11-01
APP_000046,576,12029.73,2290.35,debt_consolidation,1.0,0.2872,0,9.61,0,2025-09-24
APP_000047,777,47633.52,5181.56,personal,3.7,0.1303,1,7.35,0,2024-10-08
APP_000048,576,68583.02,9020.04,debt_consolidation,7.5,0.4583,0,10.26,0,2024-02-01
APP_000049,675,52552.11,4316.52,auto,6.2,0.3538,1,8.93,0,2023-05-05
APP_000050,758,37648.23,8089.76,auto,3.5,0.2609,1,7.02,0,2024-06-19
APP_000051,625,58101.52,4480.84,home_improvement,3.6,0.4153,0,8.52,0,2023-12-12
APP_000052,770,74448.25,17599.58,home_improvement,1.7,0.3381,1,8.27,0,2024-09-08
APP_000053,646,76973.48,5111.38,auto,12.8,0.3524,1,7.98,1,2023-05-04
APP_000054,682,54182.25,13256.0,personal,2.7,0.3476,0,8.27,0,2024-08-13
APP_000055,687,73021.57,10346.05,home_improvement,4.9,0.2513,1,8.09,0,2024-03-03
APP_000056,536,18779.08,6818.06,personal,0.7,0.3925,0,11.42,0,2025-05-02
APP_000057,591,87504.53,20625.56,home_improvement,6.3,0.5338,0,10.38,0,2023-11-28
APP_000058,709,35125.95,18495.63,home_improvement,4.4,0.4286,0,8.3,0,2025-08-02
APP_000059,697,53321.9,20862.06,debt_consolidation,2.4,0.2792,1,7.54,0,2024-09-29
APP_000060,561,21067.66,9528.95,debt_consolidation,1.2,0.3471,0,10.14,0,2023-09-19
APP_000061,668,113235.18,8540.09,home_improvement,1.0,0.2713,1,9.05,0,2025-03-21
APP_000062,701,42120.63,17816.19,personal,1.3,0.5469,0,8.08,0,2025-07-05
APP_000063,561,51223.35,6054.41,auto,1.0,0.4326,0,10.17,0,2024-08-05
APP_000064,649,118030.78,3871.81,auto,4.0,0.3452,1,8.43,1,2024-08-21
APP_000065,696,160748.61,5547.77,business,12.9,0.2844,1,7.77,0,2026-03-04
APP_000066,516,17731.72,11162.74,auto,1.7,0.4077,0,11.9,0,2023-06-27
APP_000067,772,72599.02,7634.5,debt_consolidation,2.1,0.05,1,8.06,0,2025-09-13
APP_000068,581,167562.6,8348.74,personal,19.9,0.5108,0,10.27,0,2023-07-13
APP_000069,758,177861.53,11052.21,personal,2.9,0.1598,1,7.81,0,2026-02-28
APP_000070,567,110615.89,6608.13,auto,10.5,0.3838,0,10.21,0,2023-10-15
APP_000071,729,64608.73,10738.77,personal,12.0,0.299,0,8.18,0,2025-10-03
APP_000072,652,33851.66,14395.0,personal,3.9,0.3694,1,8.67,1,2024-05-04
APP_000073,602,72593.3,3632.29,debt_consolidation,0.7,0.4409,0,9.81,0,2024-11-06
APP_000074,607,67728.55,6836.88,personal,7.9,0.2786,0,9.46,0,2025-08-26
APP_000075,672,30037.44,13528.01,home_improvement,3.7,0.4135,0,7.97,0,2024-09-27
APP_000076,574,32200.2,12163.15,auto,8.8,0.3501,0,11.84,0,2025-12-27
APP_000077,762,70280.89,5272.39,personal,5.1,0.3081,1,8.44,0,2025-06-23
APP_000078,717,37311.83,4952.83,auto,4.1,0.3908,1,7.91,0,2025-10-27
APP_000079,642,70531.41,4206.01,home_improvement,10.5,0.3576,1,8.66,0,2025-09-08
APP_000080,743,49089.68,20985.4,debt_consolidation,4.2,0.2476,0,7.58,0,2025-07-08
APP_000081,850,254714.6,15797.47,personal,2.0,0.238,1,7.49,0,2024-10-05
APP_000082,611,74770.79,4199.89,personal,3.9,0.4285,0,10.16,0,2023-12-30
APP_000083,720,51096.37,10070.84,business,1.3,0.1032,1,7.95,0,2025-12-22
APP_000084,734,47187.91,4762.16,debt_consolidation,3.6,0.1101,1,8.81,0,2024-07-27
APP_000085,635,48416.91,8787.05,debt_consolidation,2.5,0.3085,0,8.24,0,2024-01-31
APP_000086,662,61971.72,3575.6,debt_consolidation,3.3,0.4125,1,8.27,0,2024-01-15
APP_000087,593,79810.55,12884.86,business,7.7,0.313,0,10.49,0,2025-01-26
APP_000088,768,33631.54,5633.5,debt_consolidation,5.7,0.2603,0,6.99,0,2023-08-13
APP_000089,692,152738.55,7641.31,personal,6.2,0.4791,0,8.02,0,2023-10-17
APP_000090,578,67058.22,10035.17,debt_consolidation,2.8,0.3806,0,10.56,0,2026-03-17
APP_000091,589,79569.62,10112.96,home_improvement,5.5,0.2853,0,10.41,0,2024-01-13
APP_000092,693,145299.48,3351.63,debt_consolidation,4.6,0.2304,1,8.21,1,2025-03-02
APP_000093,743,72879.0,22405.25,auto,2.4,0.1456,1,9.82,1,2025-05-15
APP_000094,597,38307.14,14664.23,business,3.2,0.3472,0,9.43,0,2023-07-04
APP_000095,783,51439.51,17122.62,debt_consolidation,0.6,0.2583,1,8.89,0,2024-08-20
APP_000096,632,25984.14,4357.8,home_improvement,0.8,0.4801,0,8.75,0,2025-09-13
APP_000097,749,85524.17,22390.0,auto,14.2,0.2064,1,8.17,0,2025-04-13
APP_000098,526,34737.94,10857.94,debt_consolidation,1.8,0.2699,0,11.09,0,2025-02-16
APP_000099,709,38747.55,22454.14,personal,6.6,0.2306,1,7.33,0,2025-04-13
APP_000100,743,101582.5,8264.38,auto,5.3,0.2687,1,7.61,0,2025-04-24
APP_000101,723,92516.78,32310.81,home_improvement,4.4,0.3468,1,7.82,0,2024-12-03
APP_000102,661,49346.77,10115.17,business,3.6,0.392,1,8.91,0,2025-04-23
APP_000103,625,25374.82,16136.7,debt_consolidation,2.4,0.426,0,9.71,0,2025-12-22
APP_000104,555,19893.16,7080.61,personal,12.9,0.3568,0,10.61,0,2025-04-16
APP_000105,500,27074.38,5634.73,personal,6.7,0.6114,0,12.1,0,2024-06-02
APP_000106,621,31288.75,26436.64,personal,4.1,0.4615,1,9.81,0,2024-05-23
APP_000107,569,29064.01,9600.68,debt_consolidation,15.6,0.3478,0,10.02,0,2023-12-17
APP_000108,557,37100.11,23280.42,personal,10.5,0.3133,0,11.14,0,2023-04-27
APP_000109,693,78267.85,8173.75,debt_consolidation,1.1,0.1393,1,8.25,1,2026-01-20
APP_000110,700,143332.22,6955.69,home_improvement,0.5,0.2592,0,8.68,0,2025-11-30
APP_000111,726,45036.8,18939.24,auto,8.1,0.3544,1,7.74,1,2025-01-19
APP_000112,611,89975.07,6872.25,auto,9.3,0.3924,0,9.29,0,2024-06-08
APP_000113,546,75331.19,2998.59,auto,7.9,0.4223,0,10.21,0,2024-08-29
APP_000114,653,75532.4,10556.57,debt_consolidation,2.8,0.3817,1,8.93,0,2023-07-26
APP_000115,603,36952.04,7264.45,auto,5.0,0.3013,0,8.95,0,2023-07-09
APP_000116,778,71185.99,5120.83,personal,8.6,0.2006,1,7.7,0,2025-04-16
APP_000117,726,97118.3,9440.0,home_improvement,8.5,0.2986,1,7.31,0,2024-09-23
APP_000118,739,80983.75,9549.36,auto,0.4,0.2957,1,8.25,1,2023-05-27
APP_000119,756,112834.25,5119.72,personal,6.6,0.2249,1,8.41,0,2023-07-11
APP_000120,749,164671.28,10994.62,auto,3.7,0.1428,1,8.31,0,2026-02-07
APP_000121,740,109901.74,6953.05,auto,12.5,0.2565,1,7.87,0,2023-04-10
APP_000122,731,261586.43,9606.56,personal,0.7,0.3647,1,8.4,1,2026-03-20
APP_000123,658,32840.98,15350.46,personal,0.8,0.359,0,8.61,0,2023-09-01
APP_000124,743,43637.55,3410.95,auto,1.8,0.2846,1,8.07,0,2025-10-23
APP_000125,762,27038.96,24751.01,personal,8.3,0.15,1,7.68,0,2025-02-18
APP_000126,704,175541.5,19276.17,home_improvement,6.0,0.3614,1,8.81,0,2024-01-22
APP_000127,685,88952.86,11352.05,debt_consolidation,10.5,0.2826,1,8.0,0,2025-09-30
APP_000128,620,19783.98,2596.07,auto,0.4,0.4574,0,9.29,0,2025-11-10
APP_000129,625,66398.37,8232.72,home_improvement,4.5,0.3269,1,9.8,0,2023-08-30
APP_000130,560,14482.64,17784.65,auto,6.4,0.2043,0,9.8,0,2023-06-18
APP_000131,557,64780.03,6117.13,auto,1.7,0.445,0,10.6,0,2025-02-26
APP_000132,712,68152.36,7619.37,debt_consolidation,2.7,0.4167,1,7.97,0,2024-10-25
APP_000133,588,95020.29,7768.98,home_improvement,2.5,0.353,0,10.31,0,2025-05-25
APP_000134,657,144273.6,3891.0,debt_consolidation,0.7,0.2747,1,9.31,0,2025-06-05
APP_000135,760,147401.49,17441.23,home_improvement,6.0,0.2302,1,8.23,0,2026-03-08
APP_000136,771,127582.23,7521.27,auto,3.3,0.333,1,7.86,0,2024-01-01
APP_000137,716,103349.64,10235.08,home_improvement,1.2,0.2829,1,7.39,0,2023-12-19
APP_000138,648,49630.04,12970.4,home_improvement,11.6,0.4792,1,8.43,0,2024-07-24
APP_000139,779,71613.48,8665.38,personal,0.7,0.2568,1,9.29,0,2024-04-26
APP_000140,564,129248.53,17499.84,personal,3.0,0.3281,0,10.75,0,2024-05-07
APP_000141,694,50273.44,8518.38,debt_consolidation,12.0,0.2662,1,8.02,0,2024-10-29
APP_000142,719,83786.07,4060.67,debt_consolidation,4.7,0.4734,0,8.6,0,2025-03-10
APP_000143,750,60419.9,5163.77,auto,5.6,0.3255,1,8.17,1,2025-02-09
APP_000144,692,49801.0,6432.37,debt_consolidation,17.3,0.4123,1,8.74,1,2023-09-04
APP_000145,732,76931.09,21176.63,home_improvement,18.6,0.125,1,8.4,1,2024-07-26
APP_000146,570,78578.93,6287.22,debt_consolidation,3.7,0.3984,0,10.18,0,2024-08-02
APP_000147,670,40235.11,15620.47,home_improvement,3.3,0.387,1,9.2,0,2026-03-07
APP_000148,560,36707.58,7468.1,debt_consolidation,3.3,0.5169,0,10.53,0,2023-04-28
APP_000149,665,73011.77,8982.19,personal,12.4,0.1878,1,8.19,0,2025-02-16
APP_000150,699,49417.6,9723.53,debt_consolidation,1.2,0.1822,1,7.34,0,2025-10-18
APP_000151,729,79418.87,12038.52,auto,0.5,0.2437,1,8.47,0,2023-06-08
APP_000152,683,45450.15,4208.26,debt_consolidation,11.3,0.2938,1,8.52,0,2025-09-11
APP_000153,738,53408.03,18047.8,auto,2.8,0.3809,1,7.72,0,2023-09-03
APP_000154,500,87775.46,10715.19,personal,6.6,0.4323,0,11.8,0,2025-08-14
APP_000155,721,119787.32,3165.67,debt_consolidation,5.3,0.2073,1,7.65,0,2023-07-21
APP_000156,773,116238.54,3971.18,home_improvement,11.3,0.2973,1,7.92,0,2023-06-05
APP_000157,719,94849.97,5841.24,business,1.7,0.3457,1,8.06,0,2025-09-20
APP_000158,690,32337.87,4475.15,home_improvement,2.8,0.3135,1,8.42,0,2025-05-26
APP_000159,713,60790.31,9981.1,personal,0.8,0.1768,1,7.5,0,2023-12-28
APP_000160,730,45175.61,15022.13,personal,1.9,0.1998,1,7.12,0,2023-08-05
APP_000161,625,48861.18,7574.18,debt_consolidation,5.5,0.3485,0,8.99,0,2024-06-27
APP_000162,717,91308.61,17830.1,personal,11.2,0.2004,1,7.84,0,2023-09-18
APP_000163,748,95559.96,7309.79,auto,1.2,0.1548,1,8.35,0,2023-08-24
APP_000164,579,64811.23,4040.02,debt_consolidation,15.3,0.3654,0,9.83,0,2025-08-28
APP_000165,537,44248.51,12511.13,auto,1.3,0.5636,0,11.79,0,2026-02-20
APP_000166,792,44472.47,8488.69,home_improvement,11.9,0.2883,1,8.3,0,2024-03-05
APP_000167,602,35758.41,13124.61,debt_consolidation,10.1,0.2679,1,10.65,0,2023-09-08
APP_000168,781,103721.92,3693.48,debt_consolidation,1.8,0.1139,1,8.36,0,2024-11-08
APP_000169,644,41029.05,8848.11,auto,17.0,0.2054,1,9.18,0,2025-11-01
APP_000170,710,142944.02,5730.27,debt_consolidation,12.5,0.4712,0,6.96,0,2025-04-22
APP_000171,648,58134.08,8666.71,auto,5.3,0.3687,1,9.02,0,2025-07-29
APP_000172,684,196073.22,11627.58,home_improvement,6.5,0.2532,1,9.06,0,2026-01-10
APP_000173,743,48443.86,14742.65,auto,5.4,0.2769,0,8.66,0,2024-10-22
APP_000174,533,46350.91,5625.88,home_improvement,1.4,0.505,0,10.43,0,2025-04-13
APP_000175,688,39025.55,4292.92,personal,6.6,0.2781,1,8.14,0,2024-10-18
APP_000176,728,36715.61,6558.88,personal,2.5,0.076,1,9.05,0,2024-01-15
APP_000177,709,129352.52,6988.85,personal,3.3,0.241,1,8.49,0,2026-02-13
APP_000178,788,225218.77,6495.84,home_improvement,7.5,0.3054,1,7.44,0,2025-12-23
APP_000179,666,39782.44,10939.55,home_improvement,1.5,0.4647,0,8.5,0,2023-05-19
APP_000180,636,45154.97,3222.96,home_improvement,0.5,0.3629,0,9.26,0,2026-03-03
APP_000181,613,31356.55,10396.59,debt_consolidation,2.2,0.6161,0,9.73,0,2023-05-03
APP_000182,612,66999.59,5855.12,home_improvement,4.6,0.292,0,9.14,0,2023-07-31
APP_000183,658,32221.41,1005.52,auto,1.0,0.1608,1,9.6,0,2025-03-20
APP_000184,617,20521.09,5195.81,personal,0.8,0.1242,0,9.55,0,2024-11-26
APP_000185,712,300795.06,7271.89,personal,6.8,0.2706,1,7.58,0,2024-10-06
APP_000186,660,123358.33,2249.23,auto,2.0,0.2414,1,9.4,1,2023-09-03
APP_000187,638,94728.66,8266.38,personal,9.3,0.1309,0,8.78,0,2024-01-01
APP_000188,774,144752.93,8639.67,debt_consolidation,4.4,0.2544,1,8.36,0,2025-11-17
APP_000189,782,145436.11,19368.29,debt_consolidation,3.4,0.05,1,8.65,0,2024-05-07
APP_000190,684,41468.67,8102.29,debt_consolidation,4.5,0.2765,1,7.98,0,2023-06-10
APP_000191,720,59757.37,11481.69,debt_consolidation,2.3,0.3889,1,7.99,0,2024-11-07
APP_000192,689,62630.95,6426.03,business,2.8,0.2494,1,9.66,0,2023-12-25
APP_000193,730,44467.24,9525.69,personal,5.0,0.2054,1,8.1,0,2024-11-19
APP_000194,572,33612.18,15177.39,debt_consolidation,16.1,0.4676,0,9.66,0,2023-10-07
APP_000195,698,89117.97,6843.32,personal,6.1,0.3219,1,8.87,0,2023-04-18
APP_000196,677,107510.52,9255.25,auto,12.6,0.406,1,9.04,0,2024-12-21
APP_000197,644,28417.77,15205.56,personal,2.4,0.4617,0,8.81,0,2025-04-29
APP_000198,604,75754.51,3851.79,home_improvement,4.1,0.3999,0,10.02,0,2023-09-09
APP_000199,595,46860.24,3336.13,personal,15.4,0.4951,0,8.85,0,2024-01-26
APP_000200,754,196396.36,3405.62,debt_consolidation,5.4,0.05,1,8.08,1,2023-12-21
APP_000201,603,50613.82,16764.67,debt_consolidation,4.7,0.3691,0,9.17,0,2024-06-14
APP_000202,663,57147.5,7464.81,business,4.4,0.3705,1,8.56,1,2025-07-10
APP_000203,699,88518.09,4393.97,business,1.1,0.1574,1,8.76,0,2025-05-07
APP_000204,605,96220.91,5564.19,home_improvement,1.3,0.348,0,9.88,0,2026-03-13
APP_000205,821,274443.95,14836.47,business,0.9,0.05,1,8.18,0,2024-07-08
APP_000206,683,107952.73,6663.83,debt_consolidation,26.9,0.4574,0,8.88,0,2023-04-27
APP_000207,684,80012.7,4734.85,home_improvement,1.9,0.3704,0,8.0,0,2025-09-09
APP_000208,687,96337.35,9849.71,home_improvement,2.6,0.2709,1,9.11,0,2025-01-10
APP_000209,694,204956.87,18690.02,auto,3.0,0.2899,1,8.73,0,2024-03-18
APP_000210,629,37585.99,1495.07,business,3.5,0.2809,0,8.44,0,2025-07-25
APP_000211,631,73543.05,11801.56,personal,9.2,0.393,0,10.16,0,2025-10-29
APP_000212,762,55219.43,19203.35,personal,2.6,0.2564,1,8.34,0,2025-04-23
APP_000213,779,134223.02,10277.92,home_improvement,6.4,0.0768,1,7.39,0,2024-06-12
APP_000214,538,52224.05,3781.67,personal,23.5,0.65,0,10.29,0,2025-11-30
APP_000215,777,53268.98,7064.67,personal,1.4,0.2054,1,8.37,0,2024-12-16
APP_000216,676,123359.04,6335.1,business,3.3,0.1371,1,8.59,0,2025-07-20
APP_000217,820,125029.16,8463.71,home_improvement,2.8,0.0672,1,7.6,0,2024-07-09
APP_000218,583,103365.03,3301.8,debt_consolidation,3.3,0.394,0,10.93,0,2025-12-24
APP_000219,569,60791.19,6879.27,home_improvement,4.9,0.4987,0,11.21,0,2023-07-24
APP_000220,546,39435.95,24868.56,personal,7.0,0.4877,0,10.65,0,2023-08-12
APP_000221,679,59912.72,4546.61,home_improvement,3.2,0.2533,1,7.76,0,2023-04-08
APP_000222,609,48227.37,23970.91,home_improvement,3.9,0.3538,0,10.13,0,2025-08-23
APP_000223,737,23992.46,10709.18,personal,4.3,0.3178,1,8.57,0,2025-06-15
APP_000224,842,187763.66,5328.15,debt_consolidation,3.9,0.1287,1,8.89,0,2023-05-29
APP_000225,741,101235.56,6912.56,personal,3.0,0.3266,1,8.52,0,2023-10-07
APP_000226,809,41779.45,10171.51,debt_consolidation,22.7,0.1415,1,7.84,0,2024-10-20
APP_000227,757,51470.29,35000.0,auto,5.1,0.3866,1,7.84,0,2025-06-18
APP_000228,737,60902.97,3929.72,debt_consolidation,2.1,0.219,1,7.44,0,2023-09-02
APP_000229,500,40846.85,16441.11,debt_consolidation,4.6,0.3794,0,12.15,0,2025-06-15
APP_000230,745,69053.28,3996.92,auto,1.0,0.2849,1,8.63,0,2025-05-12
APP_000231,768,118967.03,11561.74,personal,0.9,0.3376,1,8.65,0,2025-01-02
APP_000232,662,74235.51,16486.07,debt_consolidation,2.4,0.3709,1,8.78,0,2026-02-07
APP_000233,668,67124.33,7154.26,home_improvement,4.6,0.2872,1,8.99,0,2023-09-15
APP_000234,667,31162.38,13824.74,home_improvement,3.2,0.3084,1,8.29,1,2024-01-18
APP_000235,753,97237.37,4411.9,personal,5.4,0.26,1,8.38,0,2024-04-29
APP_000236,645,63905.69,16346.88,debt_consolidation,3.5,0.2058,1,9.62,0,2023-12-29
APP_000237,651,122159.52,6633.24,personal,1.3,0.2755,1,9.1,0,2024-08-03
APP_000238,655,90114.48,9783.24,business,1.4,0.4491,1,10.4,0,2023-05-20
APP_000239,759,65800.75,7111.09,personal,1.3,0.1908,1,7.13,0,2026-01-11
APP_000240,721,102325.57,8464.73,auto,5.6,0.2093,1,8.38,0,2026-03-24
APP_000241,520,41093.48,6364.08,debt_consolidation,1.2,0.32,0,11.91,0,2023-09-16
APP_000242,724,93766.74,6972.75,home_improvement,2.1,0.1523,1,7.72,0,2025-02-02
APP_000243,757,69062.16,14071.14,home_improvement,3.5,0.1266,1,7.92,0,2025-06-04
APP_000244,576,60225.4,7436.56,business,2.1,0.3251,0,10.17,0,2023-09-17
APP_000245,810,213434.65,12132.8,auto,6.1,0.2441,1,8.55,0,2025-10-07
APP_000246,656,92678.14,9591.89,debt_consolidation,2.2,0.2517,1,8.15,0,2024-08-06
APP_000247,591,48174.47,6100.53,auto,7.6,0.4375,0,9.2,0,2025-08-27
APP_000248,589,88978.38,14431.19,auto,1.7,0.467,0,9.91,0,2023-08-01
APP_000249,568,30774.81,4657.66,personal,2.7,0.5274,0,10.75,0,2024-12-26
APP_000250,601,34364.88,5097.5,debt_consolidation,2.2,0.2518,0,9.08,0,2024-11-24
APP_000251,766,55869.73,6536.34,personal,1.7,0.3217,1,8.32,0,2024-01-02
APP_000252,615,42245.33,3811.42,debt_consolidation,3.6,0.4318,0,9.33,0,2024-11-06
APP_000253,722,103663.32,6935.2,auto,3.6,0.3408,1,8.02,0,2026-01-24
APP_000254,640,36762.55,3066.94,auto,3.6,0.4191,1,9.59,1,2023-05-31
APP_000255,668,122984.71,12128.22,debt_consolidation,7.9,0.3443,1,7.92,1,2025-04-15
APP_000256,565,38025.64,8902.27,personal,1.3,0.272,0,10.68,0,2024-08-13
APP_000257,601,393544.65,4807.67,debt_consolidation,4.3,0.091,0,10.29,0,2024-07-23
APP_000258,711,166667.75,5260.99,home_improvement,0.6,0.1713,1,8.3,0,2023-07-25
APP_000259,602,39776.04,6161.97,business,2.4,0.3521,0,10.31,0,2026-02-11
APP_000260,790,78784.63,33787.61,debt_consolidation,12.2,0.5029,0,7.24,0,2023-12-10
APP_000261,670,47576.15,12061.03,personal,6.2,0.3854,1,8.1,0,2025-07-21
APP_000262,662,71966.12,11587.69,auto,0.8,0.3365,1,7.88,0,2025-12-19
APP_000263,680,66784.75,9991.73,debt_consolidation,0.8,0.179,1,8.53,1,2026-03-24
APP_000264,531,105649.47,12017.91,auto,1.3,0.4195,0,11.51,0,2025-12-13
APP_000265,718,22878.76,8650.17,home_improvement,2.5,0.2994,1,7.92,1,2025-10-15
APP_000266,850,99298.16,11418.98,personal,12.3,0.1454,1,7.76,0,2025-04-02
APP_000267,682,110236.13,11751.64,auto,2.4,0.267,1,9.04,0,2023-10-06
APP_000268,764,79959.29,11647.54,home_improvement,5.4,0.4056,1,8.04,0,2025-08-06
APP_000269,654,33573.81,8840.41,debt_consolidation,4.9,0.4196,1,9.08,0,2023-12-23
APP_000270,614,28784.08,18225.73,home_improvement,5.4,0.4245,0,9.87,0,2024-01-30
APP_000271,769,55850.04,5566.64,debt_consolidation,4.1,0.2802,1,8.2,0,2025-08-21
APP_000272,666,82241.85,8135.66,home_improvement,4.8,0.2227,1,8.18,0,2024-12-02
APP_000273,709,142893.55,10869.54,home_improvement,7.6,0.335,1,7.13,0,2024-07-31
APP_000274,585,50992.65,1459.13,business,2.1,0.4495,0,9.86,0,2025-08-03
APP_000275,610,101102.22,9691.9,debt_consolidation,0.4,0.4172,0,9.56,0,2023-06-15
APP_000276,837,51066.32,5552.23,debt_consolidation,5.2,0.2021,1,7.48,0,2024-02-01
APP_000277,671,100627.8,5502.7,debt_consolidation,3.2,0.2322,1,8.38,0,2023-08-08
APP_000278,653,104382.88,13488.35,personal,2.7,0.3884,1,8.69,1,2024-03-19
APP_000279,765,143770.33,7580.49,business,2.0,0.0779,1,7.87,0,2023-12-10
APP_000280,682,21198.26,8226.65,debt_consolidation,2.1,0.2661,1,8.76,1,2023-08-30
APP_000281,596,53152.37,28570.29,personal,6.1,0.4864,0,10.5,0,2023-11-17
APP_000282,694,128003.49,29630.51,personal,5.4,0.2133,1,8.19,0,2023-06-06
APP_000283,531,29889.79,8186.75,auto,1.3,0.3078,0,11.3,0,2023-09-01
APP_000284,649,52944.01,7715.02,personal,2.6,0.317,1,8.86,0,2024-10-24
APP_000285,691,41490.58,15754.06,auto,5.5,0.2672,1,9.0,1,2025-04-18
APP_000286,612,38391.65,9051.61,debt_consolidation,1.8,0.3833,1,9.13,1,2024-07-15
APP_000287,583,41386.67,8255.26,auto,3.0,0.4079,0,9.52,0,2024-12-14
APP_000288,752,116494.27,9010.92,personal,9.4,0.4193,1,7.98,0,2026-02-22
APP_000289,551,85809.25,3003.4,home_improvement,4.9,0.2868,0,10.53,0,2023-07-31
APP_000290,511,74337.61,8883.67,auto,6.7,0.5113,0,10.5,0,2025-01-05
APP_000291,632,64366.63,11845.85,debt_consolidation,2.8,0.3983,0,9.32,0,2024-12-28
APP_000292,608,78644.61,13128.77,auto,2.9,0.3769,0,9.83,0,2024-12-08
APP_000293,733,34673.23,28179.94,auto,5.1,0.341,1,8.2,0,2024-11-27
APP_000294,668,335503.76,16303.39,auto,4.0,0.3308,1,8.17,0,2024-01-06
APP_000295,701,77896.45,9312.32,personal,1.8,0.1807,1,8.45,1,2024-09-06
APP_000296,707,61995.79,13113.81,home_improvement,3.3,0.3152,1,7.8,0,2023-12-01
